symbol,open_time,open,high,low,close,volume
BTCUSDT,2026-05-06 16:28:00+00:00,60013.71226811,60053.09207556,60013.71226811,60027.43080568,85.8724
BTCUSDT,2026-05-06 16:29:00+00:00,59980.61014417,59980.61014417,59926.37454109,59933.86244589,38.8417
BTCUSDT,2026-05-06 16:30:00+00:00,59967.59551782,60035.02088184,59967.59551782,60001.3665908,85.456
BTCUSDT,2026-05-06 16:31:00+00:00,60043.69295301,60102.91302068,60043.69295301,60086.07908746,73.1873
BTCUSDT,2026-05-06 16:32:00+00:00,59998.1566718,59998.1566718,59898.2953914,59910.49106462,115.5731
BTCUSDT,2026-05-06 16:33:00+00:00,59851.98044151,59851.98044151,59759.26534329,59793.58395676,102.6681
BTCUSDT,2026-05-06 16:34:00+00:00,59799.31698363,59848.84432659,59774.33432085,59805.05111002,77.4791
BTCUSDT,2026-05-06 16:35:00+00:00,59790.86643225,59801.91242252,59765.85064014,59776.68848105,86.564
BTCUSDT,2026-05-06 16:36:00+00:00,59775.93524289,59833.60307415,59764.64776874,59775.1820237,110.1698
BTCUSDT,2026-05-06 16:37:00+00:00,59736.93889209,59736.93889209,59680.94333343,59698.74465339,34.4078
BTCUSDT,2026-05-06 16:38:00+00:00,59738.11885832,59806.49951276,59738.11885832,59777.54504737,94.625
BTCUSDT,2026-05-06 16:39:00+00:00,59812.41590879,59851.43381098,59812.41590879,59847.3274853,53.3587
BTCUSDT,2026-05-06 16:40:00+00:00,59850.29130588,59870.90857904,59819.24970729,59853.25542004,153.1453
BTCUSDT,2026-05-06 16:41:00+00:00,59903.85718781,59980.79437706,59888.51389563,59954.54461274,54.5872
BTCUSDT,2026-05-06 16:42:00+00:00,59975.5665933,60000.57346815,59975.5665933,59996.60332272,60.2685
BTCUSDT,2026-05-06 16:43:00+00:00,59957.93736164,59977.58561241,59909.95760608,59919.32119583,114.2445
BTCUSDT,2026-05-06 16:44:00+00:00,59935.89266749,59973.21731253,59930.82224788,59952.47330865,88.587
BTCUSDT,2026-05-06 16:45:00+00:00,59909.35778585,59909.35778585,59848.01500313,59866.30421773,51.1301
